sc	rl	cl	kl	rh	ch	kh
779	15.27	278.93	94.45	6	7	3
780	32.07	214.07	32.07	13	5	2
781	66.95	389.95	66.95	13	8	2
782	53.41	229.71	64.59	11	7	3
783	65.42	257.38	391.66	16	6	10
784	6.4	308.06	6.4	7	8	2
785	36.59	57.57	36.59	16	3	2
786	67.89	187.91	67.89	14	6	2
787	46.71	235.13	71.27	17	6	4
788	14.91	198.35	141.35	10	6	3
789	46.14	215.12	612.68	14	6	15
790	57.28	79.38	358.04	14	4	13
791	26.99	225.59	26.99	9	7	2
792	17.18	170.96	17.18	9	6	2
793	5.06	166.28	434.92	5	5	14
